Chapter, Chapter Description,2011,2012,2013(Jan-Mar)
58,Special woven fabrics; tufted textile fabrics; lace; tapestries;trimmings; embroidery,3652824956,3569629919,980668229
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",773977262,1139873483,365111696
60,Knitted or crocheted fabrics,3956818755,3876496441,900029955
61,"Articles of apparel and clothing accessories, knitted or crocheted",2.329E+11,2.51543E+11,63612138284
62,"Articles of apparel and clothing accessories, not knitted or crocheted",2.0687E+11,2.13659E+11,55628200700
63,Other made up textile articles; sets; worn clothing and worn textile articles;rags,5891267900,5908128189,1478912713
64,"Footwear, gaiters and the like; parts of such articles",1859066569,1609789037,627297834
65,Headgear and parts thereof,3058606594,2857748290,513023942.7
66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops and parts thereof",151238357,128054399,22037614
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,375111031,340572355.8,86038928.05
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",2488568520,2899153597,812102110
69,Ceramic products,4260540761,4391521272,1031711189
70,Glass and glassware,1845558263,1819402585,999554417
71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin",54345041842,47917672336,28806906745
72,Iron and steel,378609028,464282606.5,65455208
73,Articles of iron or steel,1223406333,1098205394,174969411
74,Copper and articles thereof,2265112755,2015137682,483471853
75,Nickel and articles thereof,47165491,13012,1914
76,Aluminium and articles thereof,276595800,483395704,56846188
78,Lead and articles thereof,549226232,1011005360,469344734
79,Zinc and articles thereof,3076,31813,7177445
80,Tin and articles thereof,26279,68514,
81,Other base metals; cements; articles thereof,1021131,30598,99635
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1320981247,1627460937,614939602
83,Miscellaneous articles of base metal,616627091,745809512,135302774
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",13242428622,14812096041,4167490583
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",25906042324,25848179980,5953656593
86,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (incl. electro-mechanical) traffic signalling equipment of all kinds",15150514,4389989509,47655532
87,"Vehicles others than railway or tramway rolling-stock, and parts and accessories thereof",8317427902,8035990602,1525662990
88,"Aircraft, spacecraft and parts thereof",1484774773,1105353863,176490931
89,"Ships, boats and floating structures",17831237374,10483630392,13756591316
90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",4680619425,4820613700,1278101050
91,Clocks and watches and parts thereof,135749640,49361533,16786690
92,Musical instruments; parts and accessories of such articles,20386221,26317709,3100548
93,Arms and ammunition; parts and accessories thereof,668186,52175,
94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishing; lamps and lighting fittings, NES or incl.; illuminated signs or name-plates and the like; prefabricated buildings",3319916905,3380085190,834823430
95,"Toys, games and sports requisites; parts and accessories thereof",5507208303,6935118562,1761707094
96,Miscellaneous manufactured articles,3994110545,3957857219,1023856352
97,"Works of art, collectors' pieces and antiques",8214475,73029618,348429
99,List of commodities and transactions not classified according to kind in appendix to chapters 1 to 97,6479227,,
